🔄 GitHub GraphQL processing started: 0/1030 repositories (progress every 100)
🔄 GitHub GraphQL processing: 0/1030 repositories processed
🔄 GitHub GraphQL progress: 100/1030 (total_cost=99 avg_cost=1.00 remaining=4670 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 200/1030 (total_cost=198 avg_cost=1.00 remaining=4562 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 300/1030 (total_cost=296 avg_cost=1.00 remaining=4452 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 400/1030 (total_cost=396 avg_cost=1.00 remaining=4360 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 500/1030 (total_cost=496 avg_cost=1.00 remaining=4257 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 600/1030 (total_cost=595 avg_cost=1.00 remaining=4161 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 700/1030 (total_cost=695 avg_cost=1.00 remaining=4058 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 800/1030 (total_cost=793 avg_cost=1.00 remaining=3963 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 900/1030 (total_cost=893 avg_cost=1.00 remaining=3860 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1000/1030 (total_cost=991 avg_cost=1.00 remaining=3761 reset=00:35 UTC)
🔄 GitHub GraphQL progress: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
✅ GitHub GraphQL processing completed: 1030/1030 (total_cost=1021 avg_cost=1.00 remaining=3729 reset=00:35 UTC)
STATUS      PURL                                                                RELATION  LIFECYCLE
✅ ok        pkg:npm/%40nlpjs/lang-nl@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-no@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-pl@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-pt@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ro@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ru@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-sl@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-sr@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-sv@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-ta@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-th@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-tl@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-tr@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-uk@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/lang-zh@4.26.1                                     direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/language-min@4.25.0                                direct    Legacy-Safe
✅ ok        pkg:npm/%40nlpjs/language@4.25.0                                    direct    Legacy-Safe
